Date,Time,Day of Week,Category,Details,Location,Press Pool,Daily Summary,Factba.se URL,,
2/6/2026,18:37:00,Friday,Pool Report Schedule,The President departs the White House for Joint Base Andrews,South Lawn,,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-gaggle-before-marine-one-departure-february-6-2026/,,
2/6/2026,18:49:00,Friday,Pool Report Schedule,The President arrives at Joint Base Andrews,Joint Base Andrews,,,,,
2/6/2026,19:13:00,Friday,Pool Report Schedule,The President departs Joint Base Andrews for Mar-a-Lago,Joint Base Andrews,,,,,
2/6/2026,19:26:00,Friday,Pool Report Schedule,The President gaggles with reporters on board Air Force One,Joint Base Andrews,,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-gaggle-air-force-one-february-6-2026/,,
2/6/2026,20:58:00,Friday,Pool Report Schedule,The President arrives at Palm Beach International Airport,Palm Beach International Airport,,,,,
2/6/2026,21:16:00,Friday,Pool Report Schedule,The President departs Palm Beach International Airport for Mar-a-Lago,Palm Beach International Airport,,,,,
2/6/2026,21:25:00,Friday,Pool Report Schedule,The President arrives at Mar-a-Lago [Note: Time is approximate],Mar-a-Lago,,,,,
2/6/2026,21:26:00,Friday,Pool Report Schedule,White House Press Office: Full lid called,Mar-a-Lago,,,,,
2/5/2026,8:20:00,Thursday,Pool Report Schedule,The President departs the White House for the National Prayer Breakfast,The White House,White House Press Pool,,,,
2/5/2026,8:26:00,Thursday,Pool Report Schedule,The President arrives at the Washington Hilton,Washington Hilton,White House Press Pool,,,,
2/5/2026,8:30:00,Thursday,President Schedule,The President attends the National Prayer Breakfast,Washington Hilton,White House Press Pool,,https://rollcall.com/factbase/trump/transcript/donald-trump-remarks-national-prayer-breakfast-february-5-2026/,,
2/5/2026,10:18:00,Thursday,Pool Report Schedule,The President departs the Washington Hilton for the White House,Washington Hilton,White House Press Pool,,,,
2/5/2026,10:22:00,Thursday,Pool Report Schedule,The President arrives at the White House,Washington Hilton,White House Press Pool,,,,
2/5/2026,11:00:00,Thursday,President Schedule,The President receives his Intelligence Briefing,Oval Office,Closed Press,,,,
2/5/2026,12:12:00,Thursday,Pool Report Schedule,White House Press Office: Lunch lid until 1:15 PM,The White House,Out-of-Town Travel Pool,,,,
2/5/2026,14:00:00,Thursday,Briefing Schedule,Press Briefing by the Press Secretary Karoline Leavitt,James S. Brady Press Briefing Room,On Camera,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-conference-briefing-karoline-leavitt-february-5-2026/,,
2/5/2026,19:00:00,Thursday,President Schedule,The President makes an Announcement,South Court Auditorium,White House Press Pool,,https://rollcall.com/factbase/trump/transcript/donald-trump-remarks-announcement-launch-drug-website-february-5-2026/,,
2/5/2026,19:31:00,Thursday,Pool Report Schedule,White House Press Office: Full lid called,The White Hose,Out-of-Town Travel Pool,,,,
2/4/2026,11:00:00,Wednesday,President Schedule,"The President participates in a TV Interview [Note: with Tom Llamas of NBC; part to air 2/4, part before Super Bowl]",Oval Office,Closed Press,,https://rollcall.com/factbase/trump/transcript/donald-trump-interview-tom-llamas-nbc-news-february-4-2026/,,
2/4/2026,11:28:00,Wednesday,Pool Report Schedule,White House Press Office: Lunch lid until 12:15 PM,The White House,Out-of-Town Travel Pool,,,,
2/4/2026,13:15:00,Wednesday,President Schedule,The First Lady meets with Freed American-Israeli Hostage Keith Siegel,Blue Room,Pre-Credentialed Media,,https://rollcall.com/factbase/trump/transcript/donald-trump-remarks-melania-trump-freed-hostages-february-4-2026/,,
2/4/2026,16:00:00,Wednesday,President Schedule,The President participates in a Policy Meeting,Oval Office,Closed Press,,,,
2/4/2026,18:03:00,Wednesday,Pool Report Schedule,White House Press Office: Full lid called,Joint Base Andrews,Out-of-Town Travel Pool,,,,
2/3/2026,11:00:00,Tuesday,President Schedule,The President participates in a meeting with the President of the Republic of Colombia,Oval Office,Closed Press,,,,
2/3/2026,13:15:00,Tuesday,Pool Report Schedule,Karoline Leavitt briefs reporters at The Sticks,The Sticks - The White House,,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-briefing-karoline-leavitt-the-white-house-february-3-2026/,,
2/3/2026,13:32:00,Tuesday,Pool Report Schedule,White House Press Office: Lunch lid until 2:30 PM,The White House,Out-of-Town Travel Pool,,,,
2/3/2026,14:00:00,Tuesday,President Schedule,The President participates in signing time,Oval Office,Closed Press,,,,
2/3/2026,16:30:00,Tuesday,President Schedule,The President participates in a Bill Signing,Oval Office,White House Press Pool,,https://rollcall.com/factbase/trump/transcript/donald-trump-remarks-bill-signing-oval-office-february-3-2026/,,
2/3/2026,18:00:00,Tuesday,Pool Report Schedule,White House Press Office: Full lid called,Joint Base Andrews,Out-of-Town Travel Pool,,,,
2/2/2026,11:29:00,Monday,Pool Report Schedule,White House Press Office: Lunch lid until 12:30 PM,The White House,Out-of-Town Travel Pool,,,,
2/2/2026,15:30:00,Monday,President Schedule,The President participates in Signing Time,Oval Office,Closed Press,,https://rollcall.com/factbase/trump/transcript/donald-trump-remarks-bill-signing-oval-office-february-2-2026/,,
2/2/2026,18:06:00,Monday,Pool Report Schedule,White House Press Office: Full lid called,Joint Base Andrews,Out-of-Town Travel Pool,,,,
2/2/2026,18:21:00,Monday,Pool Report Schedule,The President departs Joint Base Andrews for the White House,Joint Base Andrews,Out-of-Town Travel Pool,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-gaggle-mar-a-lago-february-1-2026/,,
2/2/2026,18:33:00,Monday,Pool Report Schedule,The President arrives at the White House,Joint Base Andrews,Out-of-Town Travel Pool,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-gaggle-mar-a-lago-february-1-2026/,,
2/2/2026,18:38:00,Monday,Pool Report Schedule,White House Press Office: Full lid called,Joint Base Andrews,Out-of-Town Travel Pool,,,,
2/1/2026,,Sunday,President Schedule,"TBD: The President departs Palm Beach, Florida, en route The White House",The White House,Out-of-Town Travel Pool,,,Array,
2/1/2026,12:30:00,Sunday,Pool Report Schedule,The President speaks to reporters outside the wedding of Dan Scavino and Erin Elmore,Mar-a-Lago,Out-of-Town Travel Pool,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-gaggle-mar-a-lago-february-1-2026/,,
2/1/2026,12:47:00,Sunday,Pool Report Schedule,White House Press Office: Lunch lid until 3:00 PM,Mar-a-Lago,Out-of-Town Travel Pool,,,,
